Participant,Gender,Age,Condition,Task_Set,F_Q1,F_Q2,F_Q3,F_Q4,F_Q5,F_Time,F_Click,F_Helpfulness,F_Interpretability,S_Q1,S_Q2,S_Q3,S_Q4,S_Q5,S_Time,S_Click,S_Helpfulness,S_Interpretability
P1,female,30,text,Set1,ac,bcd,ad,a,ac,393.722,5,3,1,b,b,de,ae,abe,295.59,1,4,2
,,,vis,Set2,d,bc,d,d,e,384.377,2,6,5,a,c,d,abcd,a,233.217,0,6,5
P2,male,25,text,Set1,ac,bd,b,abc,ac,545.181,3,4,4,b,c,e,ae,a,114.588,0,5,5
,,,vis,Set2,d,bc,d,ac,cd,370.681,0,6,6,a,c,d,abcd,a,93.3,0,6,6
P3,male,30,text,Set1,ad,bd,c,ac,ac,481.95,2,3,2,b,b,b,ae,abe,282.556,0,2,2
,,,vis,Set2,bc,ac,d,d,cd,280.78,0,5,4,a,c,e,abcd,a,142.442,0,5,4
P4,male,27,text,Set1,bc,bd,c,abc,ad,213.699,0,4,4,b,c,de,ae,a,185.042,0,4,4
,,,vis,Set2,d,bc,d,abc,cd,333.102,0,6,6,a,c,d,abcd,a,167.75,0,6,6
P5,male,35,text,Set1,abc,abcd,cd,c,c,341.902,0,2,2,b,d,de,ae,bcde,224.4,0,3,3
,,,vis,Set2,d,bcd,d,ac,bcd,253.702,0,4,4,a,c,d,abcd,a,130.883,0,5,5
P6,male,25,vis,Set2,d,bc,d,c,cd,524.533,1,5,4,a,c,d,abcd,a,220.372,0,6,5
,,,text,Set1,ac,bcd,c,abc,ac,357.998,0,3,3,b,c,e,ae,a,199.018,0,4,4
P7,male,24,vis,Set2,d,bc,d,d,cd,428.92,0,5,4,a,c,d,abcd,a,198.996,0,6,4
,,,text,Set1,ac,bd,d,abc,ac,533.719,1,1,2,b,d,e,ae,a,200.705,0,5,2
P8,female,28,vis,Set2 ,c,bc,d,d,cd,195.708,0,5,5,a,c,d,abcd,a,103.251,0,5,5
,,,text,Set1,c,bd,c,ac,ad,228.24,0,3,4,b,c,ae,ae,a,154.389,0,3,4
P9,male,23,vis ,Set2,d,bc,e,c,cd,359.697,2,5,5,a,c,d,abcd,a,215.63,0,5,6
,,,text,Set1,e,bd,c,ac,ac,420.152,4,3,2,b,c,e,ae,a,159.702,1,3,3
P10,male,25,vis,Set2,c,bc,d,ac,cd,307.075,0,6,5,a,c,d,abcd,a,353.31,0,5,4
,,,text,Set1,ac,bd,c,ac,ac,361.01,0,2,0,b,d,de,ae,a,472.149,0,0,2
P11,male,27,text,Set2,bd,bc,d,c,a,456.816,3,3,3,a,c,d,abcd,a,350.148,0,6,5
,,,vis,Set1,e,bd,c,abc,c,248.101,0,6,6,b,c,de,ae,a,222.138,0,6,6
P12,male,23,text,Set2,bc,bc,d,c,e,868.831,4,5,5,a,c,d,abcd,,248.581,0,5,5
,,,vis,Set1,e,bd,c,abc,ac,239.876,0,6,5,b,c,e,ae,a,153.338,0,6,6
P13,male,23,text,Set2,bc,bc,d,bc,d,346.522,2,2,3,a,b,d,bde,a,289.735,0,3,4
,,,vis,Set1,ac,bd,c,abc,c,203.634,0,5,6,b,c,e,ae,a,106.313,0,6,6
P14,male,22,text,Set2,bd,bc,d,c,,691.641,6,2,3,a,c,d,abcd,a,530.76,1,4,5
,,,vis,Set1,ac,bd,c,abc,ac,271.82,0,6,5,b,c,e,ae,a,235.055,0,6,6
P15,male,22,text,Set2,bc,bc,d,c,ad,633.138,4,3,2,b,,d,abcd,,874.378,1,3,2
,,,vis,Set1,ac,bd,c,abc,a,676.77,1,5,4,b,c,de,ae,a,465.427,0,5,5
P16,male,26,vis,Set1,c,bd,c,abc,ac,278.984,0,5,5,b,c,e,ae,a,195.4,0,6,4
,,,text,Set2,bc,bc,d,c,d,307.319,0,4,6,a,c,d,abcd,a,188.694,0,2,6
P17,male,23,vis,Set1,a,bd,c,abc,ac,294.517,0,6,4,b,c,e,e,a,248.171,0,6,4
,,,text,Set2,bc,bc,d,c,e,352.765,2,4,3,a,c,d,d,a,251.259,0,4,3
P18,male,24,vis,Set1,e,bd,c,abc,ac,488.67,6,6,5,b,c,e,ae,a,294.33,0,6,6
,,,text,Set2,bd,bd,d,c,d,270.789,0,3,2,a,c,d,abcd,a,244.818,0,2,1
P19,female,27,vis,Set1,ac,bd,c,abc,ac,310.629,0,4,2,b,c,e,ae,a,767.13,0,4,5
,,,text,Set2,bd,bc,d,ac,d,318.443,2,2,1,a,c,d,abcd,a,306.638,0,2,2
P20,female,23,vis,Set1,a,bcd,c,abc,ac,220.515,0,6,5,b,c,e,e,a,116.689,0,5,5
,,,text,Set2,bc,bc,d,bc,d,256.462,5,4,4,a,c,d,d,a,309.03,0,5,4
