"name","height","mass","hair_color","skin_color","eye_color","birth_year","sex","gender","homeworld"
"Luke Skywalker",172,77,"blond","fair","blue",19,"male","masculine","Tatooine"
"C-3PO",167,75,NA,"gold","yellow",112,"none","masculine","Tatooine"
"R2-D2",96,32,NA,"white, blue","red",33,"none","masculine","Naboo"
"Darth Vader",202,136,"none","white","yellow",41.9,"male","masculine","Tatooine"
"Leia Organa",150,49,"brown","light","brown",19,"female","feminine","Alderaan"
"Owen Lars",178,120,"brown, grey","light","blue",52,"male","masculine","Tatooine"
"Beru Whitesun lars",165,75,"brown","light","blue",47,"female","feminine","Tatooine"
"R5-D4",97,32,NA,"white, red","red",NA,"none","masculine","Tatooine"
"Biggs Darklighter",183,84,"black","light","brown",24,"male","masculine","Tatooine"
"Obi-Wan Kenobi",182,77,"auburn, white","fair","blue-gray",57,"male","masculine","Stewjon"
"Anakin Skywalker",188,84,"blond","fair","blue",41.9,"male","masculine","Tatooine"
"Wilhuff Tarkin",180,NA,"auburn, grey","fair","blue",64,"male","masculine","Eriadu"
"Chewbacca",228,112,"brown","unknown","blue",200,"male","masculine","Kashyyyk"
"Han Solo",180,80,"brown","fair","brown",29,"male","masculine","Corellia"
"Greedo",173,74,NA,"green","black",44,"male","masculine","Rodia"
"Jabba Desilijic Tiure",175,1358,NA,"green-tan, brown","orange",600,"hermaphroditic","masculine","Nal Hutta"
"Wedge Antilles",170,77,"brown","fair","hazel",21,"male","masculine","Corellia"
"Jek Tono Porkins",180,110,"brown","fair","blue",NA,"male","masculine","Bestine IV"
"Yoda",66,17,"white","green","brown",896,"male","masculine",NA
"Palpatine",170,75,"grey","pale","yellow",82,"male","masculine","Naboo"
"Boba Fett",183,78.2,"black","fair","brown",31.5,"male","masculine","Kamino"
"IG-88",200,140,"none","metal","red",15,"none","masculine",NA
"Bossk",190,113,"none","green","red",53,"male","masculine","Trandosha"
"Lando Calrissian",177,79,"black","dark","brown",31,"male","masculine","Socorro"
"Lobot",175,79,"none","light","blue",37,"male","masculine","Bespin"
"Ackbar",180,83,"none","brown mottle","orange",41,"male","masculine","Mon Cala"
"Mon Mothma",150,NA,"auburn","fair","blue",48,"female","feminine","Chandrila"
"Arvel Crynyd",NA,NA,"brown","fair","brown",NA,"male","masculine",NA
"Wicket Systri Warrick",88,20,"brown","brown","brown",8,"male","masculine","Endor"
"Nien Nunb",160,68,"none","grey","black",NA,"male","masculine","Sullust"
"Qui-Gon Jinn",193,89,"brown","fair","blue",92,"male","masculine",NA
"Nute Gunray",191,90,"none","mottled green","red",NA,"male","masculine","Cato Neimoidia"
"Finis Valorum",170,NA,"blond","fair","blue",91,"male","masculine","Coruscant"
"Jar Jar Binks",196,66,"none","orange","orange",52,"male","masculine","Naboo"
"Roos Tarpals",224,82,"none","grey","orange",NA,"male","masculine","Naboo"
